company,company_check,ticker,occurance,profit ($ millions),revenue ($ millions),year
Edison International,Edison International,EIX,25,1612,14112,2019
Consolidated Edison,Consolidated Edison Inc.,ED,25,1525,13725.9,2019
Rockwell Automation,Rockwell Automation Inc.,ROK,31,1487.8,14343,2019
Best Buy,Best Buy Co. Inc.,BBY,25,1464,50272,2019
Xerox,Xerox Holdings Corporation,XRX,31,1452,22626,2019
Sysco,Sysco Corporation,SYY,25,1430.8,58727.3,2019
Eastman Chemical,Eastman Chemical Company,EMN,25,1384,10151,2019
Entergy,Entergy Corporation,ETR,25,1346.4,13093.8,2019
Owens-Illinois,,,31,1340.6,8134.1,2019
Becton Dickinson,"Becton, Dickinson and Company",BDX,31,1317.6,15983,2019
Lear,Lear Corporation,LEA,30,1313.4,21148.5,2019
Gap,The Gap Inc.,GPS,25,1280,16580,2019
Thrivent Financial for Lutherans,,,25,1233.9,8789,2019
VF,Village Farms International Inc.,VFF,31,1232,12862.3,2019
Campbell Soup,Campbell Soup Company,CPB,31,1165,8685,2019
J.C. Penney,Corts Trust for J.C. Penney Debentures,KTP,25,1153,32965,2019
Tenet Healthcare,Tenet Healthcare Corporation,THC,25,1143,21070,2019
DTE Energy,DTE Energy Company,DTE,25,1134,14212,2019
Clorox,The Clorox Company,CLX,26,1096,6124,2019
McGraw-Hill,,,25,1013.6,6772.3,2013
H.J. Heinz,,,27,1013,11649.1,2015
Hormel Foods,Hormel Foods Corporation,HRL,31,1012.1,9545.7,2019
Dover,Dover Corporation,DOV,31,1003,9123,2019
ConAgra Foods,Conagra Brands Inc.,CAG,28,978.4,27629.6,2016
Masco,Masco Corporation,MAS,31,940,12884,2019
Mattel,Mattel Inc.,MAT,29,904,6485,2017
Whirlpool,Whirlpool Corporation,WHR,31,888,21253,2019
Avon Products,Avon Products Inc.,AVP,30,875.3,11291.6,2018
Dean Foods,Dean Foods Company,DF,34,813,13055.5,2019
Genuine Parts,Genuine Parts Company,GPC,25,810.5,18735.1,2019
W.W. Grainger,W.W. Grainger Inc.,GWW,25,802,11221,2019
Ryder System,Ryder System Inc.,R,25,790.6,8409.2,2019
Coca-Cola Enterprises,,,27,749,21807,2015
Nordstrom,Nordstrom Inc.,JWN,25,735,15860,2019
Arrow Electronics,Arrow Electronics Inc.,ARW,25,716.2,29676.8,2019
Avnet,Avnet Inc.,AVT,25,669.1,27925,2019
Foot Locker,Foot Locker Inc.,FL,25,664,8293,2019
CMS Energy,CMS Energy Corporation,CMS,25,657,12977,2019
Supervalu,,,25,650,44564,2019
Pitney Bowes,Pitney Bowes Inc.,PBI,25,636.2,6262.3,2013
Crown Holdings,Crown Holdings Inc.,CCK,31,557,11151,2019
NCR,NCR Corporation,NCR,25,529,6591,2019
Office Depot,Office Depot Inc.,ODP,25,529,16096,2019
Newell Rubbermaid,Newell Brands Inc.,NWL,25,475,7750,2014
Ball,Ballard Power Systems Inc.,BLDP,29,470,11635,2019
Avery Dennison,Avery Dennison Corporation,AVY,31,467.4,7159,2019
OfficeMax,,,33,416.8,13270.2,2013
R.R. Donnelley & Sons,R.R. Donnelley & Sons Company,RRD,31,400.6,11603,2019
Tech Data,Tech Data Corporation,TECD,25,340.6,37239,2019
Graybar Electric,,,25,143.3,7202.5,2019
Owens & Minor,Owens & Minor Inc.,OMI,25,115.2,9838.7,2019
